200,IAM,2,9A50,1
135,40,21/11/13  1:15:46,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,41,21/11/13  1:16:43,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,42,21/11/13  1:17:40,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,43,21/11/13  1:18:37,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,44,21/11/13  1:19:34,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,45,21/11/13  1:20:31,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,46,21/11/13  1:21:28,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,47,21/11/13  1:22:25,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,48,21/11/13  1:23:22,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,49,21/11/13  1:24:19,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,50,21/11/13  1:25:16,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,51,21/11/13  1:26:13,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,52,21/11/13  1:27:10,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,53,21/11/13  1:28:07,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,54,21/11/13  1:29:04,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,55,21/11/13  1:30:01,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,56,21/11/13  1:30:58,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,57,21/11/13  1:31:55,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,58,21/11/13  1:32:52,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,59,21/11/13  1:33:49,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,60,21/11/13  1:34:46,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,61,21/11/13  1:35:43,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,62,21/11/13  1:36:40,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,63,21/11/13  1:37:37,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,64,21/11/13  1:38:34,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,65,21/11/13  1:39:31,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,66,21/11/13  1:40:28,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,67,21/11/13  1:41:25,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,68,21/11/13  1:42:22,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,69,21/11/13  1:43:19,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,70,21/11/13  1:44:16,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,71,21/11/13  1:45:13,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

