100,BEGIN,2
100,1,"Zone 1",1,1,2,3
100,2,"Zone 2",0,1,2,3
100,3,"Zone 3",0,1,2,3
100,4,"Zone 4",0,1,2,3
100,5,"Zone 5",0,1,2,3
100,6,"Zone 6",0,1,2,3
100,7,"Zone 7",0,1,2,3
100,8,"Zone 8",0,1,2,3
100,9,"Zone 9",0,1,2,3
100,10,"Zone 10",0,1,2,3
100,11,"Zone 11",0,1,2,3
100,12,"Zone 12",0,1,2,3
100,13,"Zone 13",0,1,2,3
100,14,"Zone 14",0,1,2,3
100,15,"Zone 15",0,1,2,3
100,16,"Zone 16",0,1,2,3
100,17,"Zone 17",0,1,2,3
100,18,"Zone 18",0,1,2,3
100,19,"Zone 19",0,1,2,3
100,20,"Zone 20",0,1,2,3
100,21,"Zone 21",0,1,2,3
100,22,"Zone 22",0,1,2,3
100,23,"Zone 23",0,1,2,3
100,24,"Zone 24",0,1,2,3
100,25,"Zone 25",0,1,2,3
100,26,"Zone 26",0,1,2,3
100,27,"Zone 27",0,1,2,3
100,28,"Zone 28",0,1,2,3
100,29,"Zone 29",0,1,2,3
100,30,"Zone 30",0,1,2,3
100,31,"Zone 31",0,1,2,3
100,32,"Zone 32",0,1,2,3
100,33,"Zone 33",0,1,2,3
100,34,"Zone 34",0,1,2,3
100,35,"Zone 35",0,1,2,3
100,36,"Zone 36",0,1,2,3
100,37,"Zone 37",0,1,2,3
100,38,"Zone 38",0,1,2,3
100,39,"Zone 39",0,1,2,3
100,40,"Zone 40",0,1,2,3
100,41,"Zone 41",0,1,2,3
100,42,"Zone 42",0,1,2,3
100,43,"Zone 43",0,1,2,3
100,44,"Zone 44",0,1,2,3
100,45,"Zone 45",0,1,2,3
100,46,"Zone 46",0,1,2,3
100,47,"Zone 47",0,1,2,3
100,48,"Zone 48",0,1,2,3
100,49,"Zone 49",0,1,2,3
100,50,"Zone 50",0,1,2,3
100,51,"Zone 51",0,1,2,3
100,52,"Zone 52",0,1,2,3
100,53,"Zone 53",0,1,2,3
100,54,"Zone 54",0,1,2,3
100,55,"Zone 55",0,1,2,3
100,56,"Zone 56",0,1,2,3
100,57,"Zone 57",0,1,2,3
100,58,"Zone 58",0,1,2,3
100,59,"Zone 59",0,1,2,3
100,60,"Zone 60",0,1,2,3
100,201,System Zone
100,202,System Zone
100,203,System Zone
100,204,System Zone
100,205,System Zone
100,206,System Zone
100,207,System Zone
100,208,System Zone
100,209,System Zone
100,210,ABUS Devices
100,END,2
